release	nodes	arcs	loops	successoravggap	avglocality	minoutdegree	maxoutdegree	minoutdegreenode	maxoutdegreenode	dangling	terminal	percdangling	avgoutdegree	successorlogdeltastats	successoravglogdelta	minindegree	maxindegree	minindegreenode	maxindegreenode	avgindegree	sccs	maxsccsize	percmaxscc	minsccsize	percminscc
cc-main-2023-may-sep-nov	319124148	2404066457	0	9012084.671	77652353.698	0	5530205	0	251608153	259552619	259552619	81.3328043730492	7.53332667573624	7441755,6115529,6915060,8856694,11517555,13604388,13278182,13546173,15688753,16745440,16688183,18513149,20166369,18165710,17271597,18103078,23966683,36434821,42152689,51043236,63440722,75812634,88707064,139104292,211301980,364605145,509159500,541264603,34455473	11.883	0	22421969	319124102	91766108	7.53332667573624	273078882	45507399	14.26009259568787	1	3.133576716983511E-7
cc-main-2023-24-sep-nov-feb	348360632	2664958823	0	8979894.695	85708764.397	0	8882010	0	240403310	286974795	286974795	82.37865264867243	7.649999966127057	8063490,6873341,7940868,10346343,13481364,15767118,15536303,15706247,18781440,20413409,20590662,22134345,22880258,18320935,19317095,21372387,27706229,41673695,47418663,54246504,71509346,80087769,93580585,140608562,218233634,361897641,531208327,658734277,80527986	11.899	0	22366131	348360586	88256560	7.649999966127057	299727663	48138706	13.818641252206707	1	2.8705884308993903E-7
cc-main-2024-nov-feb-apr	335267082	2701550796	0	8583944.786	78654123.927	0	17682037	0	231515841	271519221	271519221	80.9859468994931	8.057906490205323	8220350,7185198,8655133,11479687,14982616,16955686,17487024,17904025,21854061,23731282,23608402,24792153,26440687,21454794,22023670,22252854,29264120,42807617,48566861,58646255,77744505,95828502,105721926,131152829,206835246,384820486,567489106,610767818,52877903	11.764	0	22432206	335267023	88460590	8.057906490205323	284874651	49844735	14.86717237572402	1	2.9826966430304063E-7
cc-main-2024-feb-apr-may	336594926	2601584631	0	9029426.943	78880161.054	0	17682037	0	232433419	270551110	270551110	80.37884385696296	7.729126109880813	7978401,6953858,8363987,11096542,14514779,16165853,16461060,16525119,20088285,22138313,22525177,23350351,25435448,23295563,23980804,24212688,28336738,41045292,48733863,58095863,74088641,88247919,95100391,118183395,194472768,375176028,555387358,591151669,50478478	11.767	0	22074370	336594698	89069163	7.729126109880813	284464329	51597527	15.32926464851107	1	2.970930108435443E-7
cc-main-2024-apr-may-jun	371683498	2717872917	0	9746599.367	88741754.255	0	71253399	0	261012049	302155805	302155805	81.29384452790529	7.312331409989044	7794136,6735868,7944453,10457666,13650512,15231977,15167403,15019524,18270160,20666526,21294440,21823113,24245493,23414260,26545812,28674139,29665786,36060449,51702699,55389085,67581891,82890683,97663591,111030117,182707103,376411075,572744825,674985210,102104921	11.920	0	22228250	371683192	98003032	7.312331409989044	317219111	54008765	14.530848232600308	1	2.690461119153587E-7
cc-main-2024-may-jun-jul	362168422	2749439859	0	9573867.777	87542588.810	0	71253399	0	254322015	292612345	292612345	80.79454950382173	7.591605706032538	7844178,6732092,7822812,10225650,13276222,15187855,15050488,14545394,17279233,20284533,21532916,20687982,21994391,23158487,29140083,32999534,32801905,34640139,49968566,54604047,66622185,81424356,101347845,111599249,189812869,391094334,589555448,674670061,93537005	11.931	0	22315777	362168064	93893527	7.591605706032538	312080726	49601598	13.695726901336528	1	2.761146304467152E-7
cc-main-2024-jun-jul-aug	361648446	2715890154	0	9430343.436	86115265.501	0	71253399	0	256433964	293841465	293841465	81.25058140025853	7.509752036927043	7897491,6844237,7998180,10488545,13604638,15807955,15998422,15595301,17800337,21213315,23777258,23410384,23479477,24831938,31643235,35343481,30234683,32719138,46495290,52187164,63715952,76411578,99650513,126551868,187248151,386523152,575250363,654873991,88294117	11.877	0	22293654	361648250	97200668	7.509752036927043	313422023	47710285	13.192448502875635	1	2.7651162643181936E-7
cc-main-2024-jul-aug-sep	306548416	2647414185	0	7987060.069	70551853.402	0	6251977	0	190465623	242377012	242377012	79.06647020482403	8.636202462060675	7888438,6903004,8158011,10719365,13895613,16405150,17020313,16831184,18811314,22763342,25872246,27482020,31352597,32495586,37423288,35263177,29296708,37389495,41514328,53534455,67516917,80184662,96931113,146969459,217211433,408737464,609740839,511950126,17152538	11.660	0	22107859	306548287	87809115	8.636202462060675	263709475	42001906	13.701557016037558	1	3.262127441558856E-7
cc-main-2024-aug-sep-oct	299918956	2627429657	0	7603808.326	67171953.636	0	6251977	0	185901381	238246093	238246093	79.43682392652767	8.760465467211082	7751101,6747339,7919669,10299921,13446234,16366519,17205172,17499871,18982930,22759637,25551664,29204418,36318736,41993657,45749390,34575987,29097855,38145127,43218099,53546868,68011715,80792976,102387042,143213568,219715002,407361803,606615632,472677815,10273910	11.575	0	21694252	299918854	87492937	8.760465467211082	258220581	40831450	13.614161153588437	1	3.334234065552029E-7
cc-main-2024-sep-oct-nov	298244156	2713346784	0	7350452.390	65873038.360	0	6251977	0	187499658	237799379	237799379	79.73312275060974	9.097736634276247	7713928,6620244,7705095,9848711,12889924,16039511,16942704,17513377,18820298,22112793,24287382,29882855,40263941,51163699,52545086,31552226,29294932,40852414,49267484,60008777,74223977,87724833,108197119,152288242,225429429,413610777,619661627,477623171,9262228	11.553	0	21770679	298244066	88872968	9.097736634276247	256436541	40940186	13.7270706487875	1	3.352957568093975E-7
cc-main-2024-oct-nov-dec	283704061	2611176567	0	7203534.751	62832072.617	0	4874067	0	165548565	223888343	223888343	78.916157284051	9.203874480316305	7537906,6369170,7399855,9429877,12430432,15536745,16451514,16866960,17894448,20070180,20564086,25695025,35057740,42692696,41361488,28116853,30371226,41604908,50506643,60099963,73501990,90237860,110081070,164386353,226987117,411814059,600922464,423357098,3830841	11.572	0	21601856	283703986	83977201	9.203874480316305	242979591	39881160	14.057310233567646	1	3.524799738414742E-7
cc-main-2024-25-nov-dec-jan	277728321	2733552137	0	6836336.612	62970140.081	0	7322747	0	156026004	217638116	217638116	78.36367397331438	9.842540102346998	7549469,6304978,7346872,9348001,12394808,15660714,16413444,16238791,16627205,18143767,18371902,21177591,27070821,32070671,31193231,27450372,32235539,43399426,55228865,64882080,80079612,100208287,125926844,179048323,244627001,442107296,641747505,439554685,1144037	11.685	0	21694689	277728290	82821373	9.842540102346998	236139828	40812883	14.695254287732507	1	3.600641073979632E-7
cc-main-2024-25-dec-jan-feb	267363720	2701899760	0	6617223.369	61196796.302	0	7608315	0	148375984	207731825	207731825	77.69634002698646	10.10570828383148	7264172,6092012,7129792,9129624,12242993,15675237,16793070,16566653,15759503,16761137,16282724,16826254,18979894,21443283,21927669,26597708,33984478,45815611,55673740,61944894,81368205,104825779,134669703,172730171,255603452,458070676,654171692,397569634	11.735	0	21493180	267363694	79025239	10.10570828383148	225915651	40735500	15.235986393367059	1	3.7402232434527765E-7
cc-main-2025-jan-feb-mar	293276643	2801432574	0	6876745.230	66825544.940	0	11103477	0	223619588	233185357	233185357	79.5103744419224	9.552184399492052	7275418,6089647,7075367,9093974,12233589,15666887,16941528,16852246,16500425,17778462,16960338,16911086,17786900,16018963,25505004,23827821,30203816,43716482,52251977,59533186,78010742,99713619,127765295,185894161,257999980,463903798,673589127,476363289,9969447	11.834	0	21584570	293276613	92686060	9.552184399492052	250609846	41986319	14.31628464186969	1	3.4097498858782287E-7
cc-main-2025-feb-mar-apr	309173088	2858348893	0	6962259.590	71739451.918	0	11920266	0	13930415	249023188	249023188	80.54491081707603	9.245141326789737	7320672,6127969,6953662,8889147,11958661,15188998,15961535,15819525,16026032,17003579,15282896,15069273,16598269,14791317,23088058,21770980,27582957,38076301,52384939,59376736,75603719,97915847,125659257,186833677,254537356,470541566,683038069,531668073,27279823	11.936	0	21470968	309173022	99700424	9.245141326789737	266294624	42281752	13.675754339912018	1	3.234434169121473E-7
cc-main-2025-mar-apr-may	326803320	2941436766	0	6868402.942	74758826.888	0	11920266	0	14074586	267364453	267364453	81.81203697685812	9.000633059664143	7253931,6009386,6602235,8486162,11382876,14296495,14949808,14846788,15651868,16247839,14685837,14043466,15955361,13826722,21947429,20611510,25831084,35907516,51599636,60644206,76638654,93292584,123483238,190275112,279155097,475819968,702127574,559724544,50139840	12.018	0	21242128	326803223	113987913	9.000633059664143	284727838	41497341	12.69795576128174	1	3.059944433857037E-7
cc-main-2025-apr-may-jun	371605733	3052862379	0	7225940.578	81649991.446	0	20476524	0	364365536	312536421	312536421	84.10430551672894	8.215326373880243	7260058,6087111,6583394,8375950,11198729,14005938,14768292,14804528,15813396,16066995,14842029,14224543,16559478,15053143,16022982,18726598,25103380,34783709,50181375,60673639,76801688,84704207,117694544,181365830,310355935,501096805,666850554,632671594,100185955	12.111	0	20909245	371605607	160500510	8.215326373880243	330584446	40418193	10.876633326859896	1	2.6910241452060695E-7
cc-main-2025-may-jun-jul	481648822	3355655920	0	7815168.886	95430458.790	0	40637324	0	472645588	422621831	422621831	87.7448073567592	6.9670178078417475	7109342,6051337,6554725,8151831,10762478,13384336,14142981,14245270,15143815,15807720,15022004,14420213,14878439,13062020,13889594,16663871,22969022,31386380,44269964,54608994,73809656,85433113,115351320,180287607,327130162,564322872,749994404,689959348,216843102	12.296	0	20695754	481648733	251523039	6.9670178078417475	439929733	41176070	8.54898177244997	1	2.07620148606945E-7
